displacement,horsepower,weight,mpg
86,65,2110,46.6
91,67,1850,44.6
90,48,2085,44.3
97,52,2130,44
90,48,2335,43.4
90,48,1985,43.1
98,76,2144,41.5
85,65,2110,40.8
85,70,2070,39.4
79,58,1755,39.1
86,64,1875,39
89,60,1968,38.1
105,63,2125,38
91,67,1965,38
91,67,1995,38
262,85,3015,38
89,62,2050,37.7
91,69,2130,37.3
86,65,2019,37.2
119,92,2434,37
85,65,1975,37
91,68,2025,37
121,67,2950,36.4
98,66,1800,36.1
91,60,1800,36.1
79,58,1825,36
105,74,1980,36
98,70,2125,36
120,88,2160,36
107,75,2205,36
135,84,2370,36
98,80,1915,35.7
81,60,1760,35.1
72,69,1613,35
122,88,2500,35
105,63,2215,34.7
105,70,2150,34.5
98,65,2045,34.4
97,78,2188,34.3
105,70,2200,34.2
86,65,1975,34.1
91,68,1985,34.1
112,88,2395,34
108,70,2245,34
97,67,2145,33.8
107,75,2210,33.7
85,70,1945,33.5
98,83,2075,33.5
151,90,2556,33.5
91,53,1795,33
91,53,1795,33
105,74,2190,33
119,100,2615,32.9
78,52,1985,32.8
168,132,2910,32.7
107,72,2290,32.4
108,75,2350,32.4
97,67,2065,32.3
108,75,2265,32.2
98,70,2120,32.1
71,65,1836,32
83,61,2003,32
85,70,1990,32
91,67,1965,32
144,96,2665,32
135,84,2295,32
89,71,1925,31.9
85,65,2020,31.8
120,74,2635,31.6
98,68,2045,31.5
89,71,1990,31.5
120,75,2542,31.3
71,65,1773,31
79,67,1950,31
76,52,1649,31
79,67,2000,31
112,85,2575,31
91,68,1970,31
119,82,2720,31
105,75,2230,30.9
145,76,3160,30.7
98,63,2051,30.5
97,78,2190,30.5
79,70,2074,30
88,76,2065,30
111,80,2155,30
97,67,1985,30
98,68,2155,30
146,67,3250,30
135,84,2385,30
98,65,2380,29.9
134,90,2711,29.8
89,62,1845,29.8
97,71,1825,29.5
98,68,2135,29.5
68,49,1867,29
98,83,2219,29
97,75,2171,29
90,70,1937,29
85,52,2035,29
90,70,1937,29
97,78,1940,29
135,84,2525,29
173,115,2595,28.8
151,90,2670,28.4
141,80,3230,28.1
140,90,2264,28
116,90,2123,28
97,92,2288,28
98,80,2164,28
90,75,2125,28
107,86,2464,28
97,75,2155,28
151,90,2678,28
112,88,2605,28
120,79,2625,28
156,105,2800,27.9
134,95,2560,27.5
121,80,2670,27.4
119,97,2300,27.2
141,71,3190,27.2
135,84,2490,27.2
97,88,2130,27
97,88,2130,27
97,60,1834,27
97,88,2100,27
101,83,2202,27
112,88,2640,27
151,90,2735,27
151,90,2950,27
140,86,2790,27
173,115,2700,26.8
151,84,2635,26.6
350,105,3725,26.6
140,72,2565,26.5
140,88,2870,26.4
97,46,1835,26
121,113,2234,26
91,70,1955,26
96,69,2189,26
97,46,1950,26
98,90,2265,26
122,80,2451,26
79,67,1963,26
97,78,2300,26
116,75,2246,26
108,93,2391,26
98,79,2255,26
97,75,2265,26
156,92,2585,26
156,92,2620,25.8
122,96,2300,25.5
140,89,2755,25.5
183,77,3530,25.4
168,116,2900,25.4
140,88,2720,25.1
110,87,2672,25
104,95,2375,25
113,95,2228,25
97.5,80,2126,25
140,75,2542,25
90,71,2223,25
121,115,2671,25
116,81,2220,25
140,92,2572,25
181,110,2945,25
98,60,2164,24.5
151,88,2740,24.5
151,90,3003,24.3
146,120,2930,24.2
113,95,2372,24
107,90,2430,24
113,95,2278,24
116,75,2158,24
121,110,2660,24
90,75,2108,24
120,97,2489,24
134,96,2702,24
119,97,2545,24
200,81,3012,24
140,92,2865,24
119,97,2405,23.9
260,90,3420,23.9
151,85,2855,23.8
70,100,2420,23.7
173,110,2725,23.5
156,105,2745,23.2
122,86,2220,23
97,54,2254,23
120,97,2506,23
198,95,2904,23
140,83,2639,23
140,78,2592,23
115,95,2694,23
120,88,2957,23
350,125,3900,23
232,90,3085,22.5
231,110,3415,22.4
140,88,2890,22.3
198,95,2833,22
140,72,2408,22
121,76,2511,22
122,86,2395,22
108,94,2379,22
121,98,2945,22
225,100,3233,22
250,105,3353,22
146,97,2815,22
232,112,2835,22
121,115,2795,21.6
121,110,2600,21.5
80,110,2720,21.5
231,115,3245,21.5
134,95,2515,21.1
200,85,2587,21
199,90,2648,21
122,86,2226,21
120,87,2979,21
140,72,2401,21
155,107,2472,21
231,110,3039,21
200,85,3070,20.8
231,105,3380,20.6
225,110,3360,20.6
231,105,3425,20.5
200,95,3155,20.5
225,100,3430,20.5
131,103,2830,20.3
302,139,3570,20.2
200,85,2965,20.2
232,90,3265,20.2
200,88,3060,20.2
140,90,2408,20
97,88,2279,20
114,91,2582,20
156,122,2807,20
198,95,3102,20
262,110,3221,20
232,100,2914,20
225,100,3651,20
130,102,3150,20
260,110,3365,19.9
200,85,2990,19.8
318,140,3735,19.4
232,90,3210,19.4
231,105,3535,19.2
305,145,3425,19.2
267,125,3605,19.2
225,90,3381,19.1
232,100,2634,19
250,88,3302,19
250,100,3282,19
70,97,2330,19
122,85,2310,19
121,112,2868,19
232,100,2901,19
225,95,3264,19
232,90,3211,19
120,88,3270,19
156,108,2930,19
225,100,3630,19
225,110,3620,18.6
250,110,3645,18.5
250,98,3525,18.5
360,150,3940,18.5
318,135,3830,18.2
258,120,3410,18.1
302,139,3205,18.1
307,130,3504,18
318,150,3436,18
199,97,2774,18
232,100,3288,18
258,110,2962,18
250,88,3139,18
121,112,2933,18
225,105,3121,18
232,100,2945,18
250,88,3021,18
232,100,2789,18
70,90,2124,18
225,105,3613,18
250,105,3459,18
225,95,3785,18
171,97,2984,18
250,78,3574,18
231,165,3445,17.7
302,129,3725,17.6
225,85,3465,17.6
305,140,4215,17.5
258,95,3193,17.5
305,145,3880,17.5
250,110,3520,17.5
318,140,4080,17.5
302,140,3449,17
250,100,3329,17
304,150,3672,17
231,110,3907,17
260,110,4060,17
163,125,3140,17
305,130,3840,17
350,155,4360,16.9
168,120,3820,16.5
350,180,4380,16.5
351,138,3955,16.5
163,133,3410,16.2
304,150,3433,16
225,105,3439,16
250,100,3278,16
400,230,4278,16
250,100,3781,16
258,110,3632,16
302,140,4141,16
400,170,4668,16
318,150,4498,16
250,105,3897,16
318,150,4190,16
400,180,4220,16
351,149,4335,16
304,120,3962,15.5
318,145,4140,15.5
350,170,4165,15.5
400,190,4325,15.5
351,142,4054,15.5
350,165,3693,15
429,198,4341,15
390,190,3850,15
383,170,3563,15
400,150,3761,15
318,150,4135,15
304,150,3892,15
318,150,3777,15
350,145,4082,15
318,150,3399,15
250,100,3336,15
250,72,3432,15
250,72,3158,15
350,145,4440,15
258,110,3730,15
302,130,4295,15
351,152,4215,14.5
454,220,4354,14
440,215,4312,14
455,225,4425,14
340,160,3609,14
455,225,3086,14
350,165,4209,14
400,175,4464,14
351,153,4154,14
318,150,4096,14
400,175,4385,14
351,153,4129,14
318,150,4077,14
304,150,3672,14
302,137,4042,14
318,150,4237,14
318,150,4457,14
302,140,4638,14
304,150,4257,14
351,148,4657,14
400,170,4746,13
400,175,5140,13
350,165,4274,13
350,155,4502,13
400,190,4422,13
307,130,4098,13
302,140,4294,13
350,175,4100,13
350,145,3988,13
400,150,4464,13
351,158,4363,13
440,215,4735,13
360,175,3821,13
360,170,4654,13
350,150,4699,13
302,129,3169,13
318,150,3940,13
350,145,4055,13
302,130,3870,13
318,150,3755,13
383,180,4955,12
350,160,4456,12
429,198,4952,12
455,225,4951,12
400,167,4906,12
350,180,4499,12
318,210,4382,11
429,208,4633,11
400,150,4997,11
350,180,3664,11
360,215,4615,10
307,200,4376,10
304,193,4732,9
